                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.75338,                0.57316,                0.82888,                0.97286,                0.62343,                0.82897,                0.86098,                0.85865,                0.93833,                0.78185,                0.62636,                 0.6145,                0.79626,                0.71576,                0.58783,                0.80105,               0.008317,               0.008317,               0.008317
                     54,                0.73203,                0.57598,                0.83265,                0.93179,                0.62927,                0.83412,                0.90277,                0.90473,                0.96146,                0.79263,                0.62515,                0.47404,                0.79713,                0.73555,                0.42186,                0.80638,               0.008284,               0.008284,               0.008284
                     55,                0.75359,                0.59522,                0.82888,                0.94034,                0.62756,                0.83069,                0.86687,                0.75543,                0.90588,                0.74173,                0.67418,                0.80887,                0.80211,                0.74703,                 1.0116,                0.81124,               0.008251,               0.008251,               0.008251
                     56,                0.74312,                0.56525,                0.82463,                0.94787,                0.62513,                0.82918,                0.91886,                0.78706,                0.93724,                0.77391,                 0.6498,                0.75107,                0.79945,                0.74596,                0.85662,                0.80715,               0.008218,               0.008218,               0.008218
                     57,                0.75381,                0.57691,                0.82763,                0.96522,                0.65332,                 0.8278,                0.86678,                0.83725,                0.94709,                0.79181,                0.61478,                0.63635,                0.79442,                0.71387,                0.72618,                 0.8045,               0.008185,               0.008185,               0.008185
                     58,                0.76652,                0.57268,                0.82789,                0.98128,                 0.6221,                0.82993,                0.89687,                0.88525,                0.96093,                0.78197,                 0.6498,                0.51169,                0.80204,                0.76254,                0.47437,                0.81171,               0.008152,               0.008152,               0.008152
                     59,                0.71467,                0.53479,                0.82493,                0.93459,                0.58238,                0.82565,                0.88927,                0.88903,                0.96952,                0.80581,                0.60602,                0.50112,                0.79552,                0.70875,                0.47214,                0.80208,               0.008119,               0.008119,               0.008119
                     60,                0.73835,                0.55037,                0.82233,                 0.9625,                0.60486,                0.82534,                0.77944,                0.74193,                0.87863,                0.71234,                0.63891,                0.92874,                0.80547,                0.76422,                 1.2494,                0.81292,               0.008086,               0.008086,               0.008086
                     61,                0.73792,                0.56431,                0.82643,                0.94619,                0.60444,                0.82768,                0.92012,                0.85608,                0.96051,                0.79871,                0.63319,                0.63169,                0.79599,                0.72804,                0.58592,                0.80349,               0.008053,               0.008053,               0.008053
                     62,                 0.7211,                0.55935,                0.82449,                0.90803,                0.60043,                0.82638,                0.90675,                0.84356,                0.95684,                0.80739,                0.58596,                0.54221,                0.79213,                0.67618,                0.56918,                0.79902,                0.00802,                0.00802,                0.00802
                     63,                0.71687,                0.55152,                0.82184,                0.93284,                0.61688,                0.82307,                0.84802,                0.83271,                0.92757,                0.77615,                0.60025,                0.59544,                0.79371,                0.70209,                0.63693,                0.80263,               0.007987,               0.007987,               0.007987
                     64,                0.72238,                0.55824,                0.82148,                0.92022,                0.60116,                0.82724,                0.88661,                0.87998,                0.96286,                0.80202,                0.61715,                0.50701,                0.79406,                0.71382,                0.49332,                0.80383,               0.007954,               0.007954,               0.007954
                     65,                 0.7307,                0.56648,                0.82602,                 0.9182,                0.59967,                0.82617,                 0.9307,                0.85497,                0.94889,                0.77826,                0.65602,                0.60156,                0.79967,                0.74905,                0.62737,                0.80835,               0.007921,               0.007921,               0.007921
                     66,                0.71609,                0.54539,                0.82176,                0.92048,                0.58819,                0.82252,                0.90595,                 0.8901,                0.96248,                0.79479,                0.61316,                0.53549,                0.79488,                0.72086,                0.51535,                0.80584,               0.007888,               0.007888,               0.007888
                     67,                0.69522,                0.54024,                0.81598,                0.90141,                0.58448,                0.82413,                0.91747,                0.91336,                0.97196,                0.80067,                0.61848,                0.43824,                0.79553,                0.73402,                0.40451,                0.80313,               0.007855,               0.007855,               0.007855
                     68,                0.70988,                0.52824,                0.82075,                0.92453,                0.58672,                0.82419,                0.93667,                0.92988,                0.97267,                 0.8046,                0.63602,                0.45026,                0.79706,                0.74087,                0.40924,                0.80897,               0.007822,               0.007822,               0.007822
                     69,                0.72652,                 0.5312,                0.82394,                0.93894,                0.58012,                0.82416,                0.92031,                0.89388,                0.97061,                0.81738,                 0.6064,                0.46229,                0.79658,                0.68917,                0.44129,                0.80196,               0.007789,               0.007789,               0.007789
                     70,                0.72349,                0.55581,                0.82638,                0.91726,                0.59051,                0.82793,                 0.9004,                 0.8985,                0.96715,                0.80582,                0.61197,                0.47684,                0.79313,                0.71661,                0.42858,                0.80523,               0.007756,               0.007756,               0.007756
                     71,                0.70773,                0.53214,                0.82118,                0.91094,                0.58663,                 0.8258,                  0.861,                0.80749,                 0.9259,                0.77049,                0.60986,                 0.6664,                  0.797,                  0.714,                0.75706,                0.80529,               0.007723,               0.007723,               0.007723
                     72,                0.71099,                 0.5093,                0.82764,                0.90455,                0.54938,                0.82681,                0.94991,                0.90261,                0.97596,                0.82035,                0.59725,                0.41433,                0.79333,                0.70504,                0.37636,                0.81129,                0.00769,                0.00769,                0.00769
                     73,                0.72503,                0.52487,                 0.8255,                0.92392,                0.56875,                0.82358,                0.79943,                0.83679,                0.94756,                 0.7909,                0.61934,                0.90366,                 0.7973,                0.70825,                 0.9209,                0.80674,               0.007657,               0.007657,               0.007657
                     74,                 0.6958,                0.50459,                0.81675,                0.90005,                0.53637,                0.82047,                0.91347,                0.92323,                0.97742,                0.82039,                0.60001,                0.45817,                0.79369,                0.69167,                0.41772,                0.80154,               0.007624,               0.007624,               0.007624
                     75,                0.70674,                0.52251,                0.81833,                 0.9056,                0.55729,                0.81991,                0.95483,                0.93151,                0.98438,                0.83531,                0.59165,                0.41427,                0.79282,                0.66714,                0.31953,                0.79493,               0.007591,               0.007591,               0.007591
                     76,                 0.6988,                0.50897,                0.81944,                0.89888,                0.54825,                0.82078,                0.93085,                0.91615,                0.97302,                0.80853,                0.62415,                0.44497,                0.79303,                0.72028,                0.40856,                0.80234,               0.007558,               0.007558,               0.007558
                     77,                0.70876,                 0.5192,                 0.8186,                0.90619,                0.54915,                0.81939,                0.95069,                0.86005,                0.97115,                0.81702,                0.59429,                0.48677,                0.79343,                 0.6815,                0.43166,                0.80263,               0.007525,               0.007525,               0.007525
                     78,                0.69452,                0.52752,                0.81743,                0.88797,                0.57784,                0.81999,                0.89634,                0.89841,                0.95758,                0.80476,                0.59426,                0.47495,                0.79836,                0.68828,                0.50111,                0.82603,               0.007492,               0.007492,               0.007492
                     79,                 0.7121,                0.54432,                0.81834,                 0.9279,                 0.6088,                0.82137,                0.92836,                0.89274,                0.95753,                0.79368,                0.62068,                0.44305,                0.79796,                0.72395,                0.46268,                0.80782,               0.007459,               0.007459,               0.007459
                     80,                0.72956,                 0.5365,                0.82567,                0.92059,                0.57359,                 0.8222,                0.87895,                0.85561,                0.93122,                0.77296,                0.61045,                0.58565,                0.79388,                0.71599,                0.65703,                0.79914,               0.007426,               0.007426,               0.007426
                     81,                0.70595,                 0.5108,                 0.8195,                0.90453,                0.54681,                0.82077,                0.90804,                0.90767,                0.96997,                0.82284,                0.57197,                0.49328,                0.78925,                0.66697,                0.46296,                0.79542,               0.007393,               0.007393,               0.007393
                     82,                0.71973,                0.53709,                0.82402,                 0.9192,                0.59233,                0.82156,                0.88043,                0.85009,                0.94756,                0.79943,                0.60413,                0.54818,                0.79506,                0.68455,                0.60867,                0.80501,                0.00736,                0.00736,                0.00736
                     83,                0.68983,                0.49431,                0.81852,                0.88272,                0.53159,                0.81962,                0.88587,                0.85428,                0.94748,                0.79294,                0.61133,                0.57851,                 0.7933,                0.71102,                0.64736,                0.79741,               0.007327,               0.007327,               0.007327
                     84,                0.67939,                0.49337,                 0.8227,                 0.8754,                0.52404,                0.82036,                0.90989,                0.91754,                0.97106,                0.82899,                0.56815,                 0.4174,                0.78798,                0.64668,                0.39246,                0.79216,               0.007294,               0.007294,               0.007294
                     85,                0.70184,                0.52919,                0.82137,                 0.9043,                0.58882,                0.81902,                0.92716,                0.91935,                0.96907,                0.82183,                0.58161,                0.46382,                0.79059,                0.66396,                0.41844,                0.79211,               0.007261,               0.007261,               0.007261
                     86,                0.68365,                0.49247,                0.81832,                  0.885,                0.54896,                0.81923,                0.91418,                0.89284,                0.96801,                0.82023,                0.57818,                0.45721,                0.78733,                0.66616,                0.47097,                0.79085,               0.007228,               0.007228,               0.007228
                     87,                0.68924,                0.48236,                0.82054,                0.88008,                0.52774,                0.81883,                0.91221,                0.91961,                0.97219,                0.81208,                0.59032,                0.42921,                0.79064,                0.68855,                0.48196,                0.79667,               0.007195,               0.007195,               0.007195
                     88,                0.68785,                0.49249,                0.81367,                0.88605,                0.53402,                0.81689,                0.91873,                0.90531,                0.97181,                0.82503,                0.57747,                0.42758,                0.79184,                0.65961,                0.40455,                0.79758,               0.007162,               0.007162,               0.007162
                     89,                 0.6763,                0.47913,                0.81677,                 0.8595,                0.50336,                0.81843,                0.91612,                0.93223,                0.97405,                0.83332,                0.54875,                0.41214,                0.78412,                0.63732,                0.43637,                0.78717,               0.007129,               0.007129,               0.007129
                     90,                 0.6797,                0.48457,                0.81714,                0.86937,                0.51894,                  0.816,                0.88262,                0.85414,                0.96191,                 0.8125,                0.58024,                0.60399,                0.78918,                 0.6726,                0.56907,                0.79695,               0.007096,               0.007096,               0.007096
                     91,                0.69224,                0.48848,                0.80999,                0.88879,                0.52709,                0.81235,                0.92034,                0.90408,                0.96901,                0.82673,                0.58664,                0.42725,                0.79001,                0.65312,                0.41973,                0.79368,               0.007063,               0.007063,               0.007063
                     92,                0.70959,                0.50247,                0.82036,                0.90958,                0.54771,                0.82172,                0.89873,                0.90993,                0.96947,                 0.8238,                0.57828,                0.46402,                0.78851,                0.65552,                0.45007,                0.79161,                0.00703,                0.00703,                0.00703
                     93,                0.67909,                0.47044,                 0.8141,                0.87275,                0.49398,                0.81551,                0.93127,                0.90104,                 0.9679,                0.81048,                0.59207,                0.46311,                0.78867,                0.69642,                0.48177,                0.79595,               0.006997,               0.006997,               0.006997
                     94,                0.68829,                0.47804,                0.82282,                0.86362,                0.51482,                0.81923,                0.92422,                 0.9295,                0.97901,                0.82715,                0.58661,                0.44229,                 0.7917,                0.67776,                0.39795,                0.79732,               0.006964,               0.006964,               0.006964
                     95,                0.69146,                0.50022,                0.81713,                0.88768,                 0.5518,                0.81754,                0.95041,                0.93329,                0.98206,                0.83755,                0.55192,                0.39025,                0.78648,                0.64313,                0.31884,                0.79341,               0.006931,               0.006931,               0.006931
                     96,                0.66935,                0.46016,                0.81905,                0.85712,                0.48189,                0.81984,                0.91967,                 0.9412,                0.97682,                0.83749,                0.54105,                0.38724,                0.78641,                0.62712,                0.33202,                0.79215,               0.006898,               0.006898,               0.006898
